March 2024,"$78,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increasing revenue by 5% annually and Expenses by 2% annualy below is the 9 year projection for net income ,,,
April 2024,"$66,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year,Revenue,Expenses,Net Income
May 2024,"$75,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000,,,,,,,,,Year 1,"$1,836,390.00","$1,542,149.00","$294,241.00"
June 2024,"$73,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-97845,,-391380,,,,,,,,,Year 2,"$1,928,209.50","$1,572,991.98","$355,217.52"
July 2024,"$63,325",,,,,moxioin leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year 3,"$2,024,619.98","$1,604,451.82","$420,168.16"
August 2024,"$56,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$80,019",,320000,,,,,,,,,Year 4,"$2,125,850.97","$1,636,540.86","$489,310.12"
Monthly average,"$68,873",,,,,"$155,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year 5,"$2,232,143.52","$1,669,271.67","$562,871.85"
September 2024,"$54,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 years 9 mo ,,,105 mo remaining on contact ,1085000,,,,,,,,Year 6,"$2,343,750.70","$1,702,657.11","$641,093.59"
October 2024,"$43,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1085000,,,,,,,,Year 7,"$2,460,938.23","$1,736,710.25","$724,227.98"
November 2024,"$37,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026,1139250,,54250,,,,,,Year 8,"$2,583,985.15","$1,771,444.45","$812,540.69"
December 2024,"$25,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,,,,,,,,,Year 9,"$2,713,184.40","$1,806,873.34","$906,311.06"
January 2025,"$22,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,"$20,249,072.45","$15,043,090.48","$5,205,981.97"
Monthly average ,"$36,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2025,"$14,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2025,"$11,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2025,"$11,023",,"Total Revenue (8 years, 9 months): $20,720,636.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly average,"$12,130",,Monthly average after restaurant closes resulting in a $19125 delta per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total loss after restrooms close,161035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total loss after restaruant closes,57375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,218410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Damages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbing (loss of revenue),"$161,035.00",,using aveage monthy revenue prior to bathroom shutdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurant closure (loss of revenue),"$57,375.00",,using average monthly revenue prior to restaurant closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over Charges in expenses fro ODI,"$137,000.00",,"see shared spreadsheet ""Orton Payments""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toast Loan 1 2023,"$21,000.00",,what we have paid so far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toast Loan 2 2024,"$97,790.00",,what we have paid so far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toast Loan 3 2024,"$12,626.00",,what we have paid so far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toast Loan 4 2024,"$67,744.00",,what we have paid so far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Loan,"$25,599.96",,this comes out of pbdg in the form of wire to search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Loan Late fees,$600.00,,,"$26,199.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBF Holdings Loan,"$21,068.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward Financing Loan,"$29,925.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factoring loan 3,"$47,599.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns for memberships/events,"$32,197.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net income loss over 9 years,"$5,200,000.00",,see table above which is using consertive growth estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPEX ,"$825,216.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outstanding Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal fees ,,,Hugh and pamela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$6,736,776.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
